Tiempo_Secuencial_s,Tiempo_SIMD_SSE_s,Aceleracion_SIMD_x,Datos
0.006,0.002,3.0,2000000
0.007,0.002,3.5,2000000
0.008,0.004,2.0,2000000
0.007,0.003,2.333333,2000000
0.007,0.004,1.75,2000000
0.008,0.004,2.0,2000000
0.008,0.003,2.666667,2000000
0.006,0.002,3.0,2000000
0.008,0.004,2.0,2000000
0.006,0.003,2.0,2000000
0.028,0.012,2.333333,10000000
0.034,0.015,2.266667,10000000
0.027,0.013,2.076923,10000000
0.036,0.013,2.769231,10000000
0.033,0.016,2.0625,10000000
0.039,0.017,2.294118,10000000
0.032,0.012,2.666667,10000000
0.031,0.013,2.384615,10000000
0.036,0.012,3.0,10000000
0.037,0.014,2.642857,10000000
0.036,0.013,2.769231,10000000
0.035,0.012,2.916667,10000000
0.036,0.017,2.117647,10000000
0.036,0.012,3.0,10000000
0.029,0.013,2.230769,10000000
0.056,0.025,2.24,20000000
0.058,0.038,1.526316,20000000
0.061,0.033,1.848485,20000000
0.057,0.027,2.111111,20000000
0.07,0.034,2.058824,20000000
0.059,0.037,1.594595,20000000
0.059,0.024,2.458333,20000000
0.059,0.025,2.36,20000000
0.06,0.027,2.222222,20000000
0.059,0.024,2.458333,20000000
0.072,0.025,2.88,20000000
0.059,0.024,2.458333,20000000
0.059,0.023,2.565217,20000000
0.059,0.024,2.458333,20000000
0.058,0.025,2.32,20000000
